,YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,ESPN_ID
2,2018,HOU,97,255,37,67,15,0,6,30,32,44,9,3,.263,.351,.392,.743,0.7,34083
0,2016,CIN,32,60,4,11,2,0,0,3,5,11,0,0,.183,.246,.217,.463,-0.4,33375
1,2018,BOS,1,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0,33375
0,2013,PIT,22,60,9,14,4,0,2,5,3,14,0,0,.233,.288,.400,.688,0.2,30584
1,2014,PIT,26,75,3,20,1,0,2,13,3,28,0,0,.267,.300,.360,.660,0.1,30584
2,2015,PIT,3,8,2,3,0,0,0,0,1,3,0,0,.375,.444,.375,.819,0.2,30584
3,2017,ATL,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.0,30584
0,2016,COL,71,205,27,53,15,2,3,30,21,53,4,1,.259,.327,.395,.722,1.0,31844
1,2017,COL,83,229,30,55,8,1,0,16,33,55,0,1,.240,.341,.284,.625,-0.3,31844
2,2018,COL,74,182,19,31,4,4,3,27,26,33,2,0,.170,.292,.286,.578,0.3,31844
0,2007,OAK,82,285,41,82,22,5,7,34,39,66,4,1,.288,.377,.474,.851,2.1,28646
1,2008,OAK,38,155,16,35,9,1,7,25,11,38,1,0,.226,.291,.432,.723,0.3,28646
2,2009,OAK,36,105,11,23,3,0,3,10,10,20,1,1,.219,.287,.333,.620,0.1,28646
3,2010,OAK,14,42,6,7,2,0,1,2,4,14,1,0,.167,.255,.286,.541,-0.4,28646
4,2011,CLE,50,149,18,34,11,0,2,18,8,30,1,1,.228,.275,.342,.617,0.4,28646
5,2012,HOU,33,74,7,16,5,1,0,6,6,18,0,0,.216,.284,.311,.595,0.2,28646
0,2013,NYM,31,99,4,20,3,0,1,5,12,21,0,0,.202,.286,.263,.549,-0.3,29951
1,2014,NYM,108,385,48,93,22,3,13,41,32,64,1,0,.242,.302,.416,.718,0.3,29951
2,2015,NYM,67,239,31,64,14,1,12,41,23,49,0,0,.268,.340,.485,.825,1.7,29951
3,2016,NYM,75,251,27,62,7,0,4,15,19,50,0,0,.247,.307,.323,.630,-0.8,29951
4,2017,NYM,112,348,39,85,19,1,16,57,23,59,0,0,.244,.293,.443,.736,1.2,29951
5,2018,NYM,4,15,1,3,0,0,1,3,1,5,0,0,.200,.250,.400,.650,-0.1,29951
0,2002,TEX,23,62,6,15,4,1,1,6,8,15,0,1,.242,.329,.387,.716,-0.1,4752
1,2003,CLE,91,291,35,74,19,3,14,40,22,81,2,1,.254,.327,.485,.812,0.3,4752
2,2004,CLE,140,482,96,150,41,3,28,109,68,111,3,2,.311,.410,.583,.993,4.7,4752
3,2005,CLE,137,486,94,148,42,0,33,108,79,123,0,0,.305,.408,.595,1.003,5.1,4752
4,2006,CLE,129,454,100,140,31,1,42,117,100,111,0,0,.308,.439,.659,1.098,5.7,4752
5,2007,CLE,152,545,80,145,25,2,24,100,102,115,1,1,.266,.385,.451,.836,2.6,4752
6,2008,CLE,57,198,21,39,10,0,5,24,27,55,1,1,.197,.305,.323,.628,-1.1,4752
7,2009,CLE,94,338,46,92,19,0,16,49,41,67,0,0,.272,.355,.470,.825,1.3,4752
8,2010,CLE,118,396,46,110,29,0,13,50,51,94,2,1,.278,.374,.449,.823,2.1,4752
