,YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,ESPN_ID
6,2017,COL,159,644,137,213,35,14,37,104,65,135,14,10,.331,.399,.601,1.000,6.0,31084
7,2018,COL,156,626,119,182,31,7,29,70,59,134,12,4,.291,.358,.502,.860,0.8,31084
0,2012,SF,6,22,0,3,0,0,0,1,0,7,0,0,.136,.136,.136,.272,-0.2,29955
1,2013,COL,47,99,12,29,5,0,2,12,4,23,5,1,.293,.317,.404,.721,-0.4,29955
2,2014,COL,95,210,17,41,7,2,3,24,12,62,2,2,.195,.253,.290,.543,-0.9,29955
3,2016,LAD,34,67,6,19,3,0,1,7,1,13,1,0,.284,.294,.373,.667,0.4,29955
4,2017,LAD,15,13,0,2,1,0,0,1,2,4,0,0,.154,.267,.231,.498,0.1,29955
5,2018,ATL,113,296,47,80,18,2,12,45,21,85,4,2,.270,.326,.466,.792,1.3,29955
0,2016,CHW,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0.0,32866
1,2018,CHW,41,106,7,28,1,1,0,11,10,20,2,3,.264,.331,.292,.623,-0.9,32866
0,2011,PIT,48,143,17,31,6,2,0,6,4,36,12,2,.217,.242,.287,.529,-0.5,30676
1,2012,PIT,8,6,2,0,0,0,0,1,0,2,1,0,.000,.000,.000,.000,-0.1,30676
2,2014,PIT,8,0,2,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.0,30676
3,2015,PHI,11,17,2,3,0,1,0,0,1,7,0,1,.176,.222,.294,.516,-0.2,30676
4,2016,ATL,84,233,24,57,14,2,1,21,23,50,9,3,.245,.317,.335,.652,0.1,30676
5,2017,BOS,2,1,2,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1,30676
6,2017,ATL,11,8,5,3,0,0,0,0,2,3,0,0,.375,.500,.375,.875,0.1,30676
7,2017,SD,22,49,5,7,2,0,1,3,2,17,5,1,.143,.176,.245,.421,-0.6,30676
8,2017,Total,35,58,12,11,2,0,1,3,4,20,5,1,.190,.242,.276,.518,-0.4,30676
9,2018,SF,42,93,9,20,5,0,3,9,4,37,2,1,.215,.253,.366,.619,-0.1,30676
0,2007,SD,8,18,1,4,1,0,0,0,2,4,0,0,.222,.333,.278,.611,-0.3,28809
1,2008,SD,91,331,34,89,19,2,9,38,30,104,4,1,.269,.337,.420,.757,0.9,28809
2,2009,SD,156,543,62,142,31,2,12,64,62,133,10,2,.262,.342,.392,.734,0.4,28809
3,2010,SD,161,610,77,161,29,3,11,58,56,139,17,5,.264,.327,.375,.702,3.6,28809
4,2011,SD,113,381,43,110,28,1,4,44,52,92,13,2,.289,.374,.399,.773,2.6,28809
5,2012,SD,161,604,95,173,31,2,31,115,86,157,17,6,.286,.376,.498,.874,6.0,28809
6,2013,SD,141,520,59,130,35,2,13,50,67,142,8,4,.250,.347,.400,.747,3.4,28809
7,2014,NYY,58,191,28,50,8,0,6,17,29,49,3,2,.262,.371,.398,.769,2.1,28809
8,2014,SD,77,279,27,64,12,1,7,32,22,73,4,1,.229,.296,.355,.651,1.4,28809
9,2014,Total,135,470,55,114,20,1,13,49,51,122,7,3,.243,.328,.372,.700,3.5,28809
10,2015,NYY,156,580,74,150,29,1,11,62,51,135,0,2,.259,.324,.369,.693,1.1,28809
11,2016,NYY,140,467,58,117,18,1,14,51,51,118,8,2,.251,.329,.383,.712,2.6,28809
12,2017,NYY,147,512,77,140,30,1,12,61,60,132,9,2,.273,.352,.406,.758,1.8,28809
13,2018,SD,27,52,2,6,1,0,0,4,6,20,0,0,.115,.233,.135,.368,-0.4,28809
0,2003,PHI,43,134,13,32,10,1,2,21,11,22,2,0,.239,.322,.373,.695,0.2,5383
1,2004,PHI,94,267,36,71,11,2,13,57,15,40,4,1,.266,.308,.468,.776,2.2,5383
2,2005,PHI,147,543,93,158,39,6,28,105,69,109,16,3,.291,.376,.540,.916,7.0,5383
3,2006,PHI,160,658,131,203,40,4,32,102,63,132,15,4,.309,.379,.527,.906,7.1,5383
4,2007,PHI,132,530,104,176,48,5,22,103,50,89,9,1,.332,.410,.566,.976,7.7,5383
5,2008,PHI,159,607,113,177,41,4,33,104,64,104,14,2,.292,.380,.535,.915,8.8,5383
6,2009,PHI,156,571,112,161,28,4,31,93,88,110,23,0,.282,.397,.508,.905,8.0,5383
7,2010,PHI,115,425,75,117,20,2,16,65,63,63,13,2,.275,.387,.445,.832,5.7,5383
8,2011,PHI,103,398,54,103,21,6,11,44,39,47,14,0,.259,.344,.425,.769,3.7,5383
9,2012,PHI,83,301,48,77,15,2,11,45,43,43,11,1,.256,.365,.429,.794,2.9,5383
10,2013,PHI,131,476,73,135,25,6,18,69,45,79,8,3,.284,.348,.475,.823,3.5,5383
11,2014,PHI,155,589,74,159,36,6,11,78,53,85,10,1,.270,.339,.407,.746,3.6,5383
12,2015,LAD,34,124,14,25,9,1,3,9,10,29,1,0,.202,.291,.363,.654,0.9,5383
13,2015,PHI,73,249,23,54,12,1,5,30,22,35,3,0,.217,.284,.333,.617,-0.5,5383
14,2015,Total,107,373,37,79,21,2,8,39,32,64,4,0,.212,.286,.343,.629,0.4,5383
15,2016,LAD,138,512,79,129,26,3,14,52,40,115,2,2,.252,.319,.396,.715,2.0,5383
16,2017,LAD,127,309,43,73,20,4,8,34,32,57,6,1,.236,.324,.405,.729,1.0,5383
17,2018,LAD,87,164,18,35,10,1,1,14,17,34,3,1,.213,.305,.305,.610,-0.2,5383
0,2012,BOS,9,12,1,3,0,0,0,0,0,5,0,0,.250,.250,.250,.500,-0.2,30535
0,2015,KC,19,46,6,10,2,1,1,8,4,9,0,0,.217,.280,.370,.650,0.3,31682
1,2016,KC,128,475,49,130,28,1,12,46,32,96,2,0,.274,.318,.413,.731,-0.2,31682
2,2017,KC,58,143,10,33,7,0,2,18,9,39,0,0,.231,.275,.322,.597,-0.5,31682
3,2018,KC,30,103,11,20,2,0,3,7,11,23,0,1,.194,.282,.301,.583,-0.3,31682
0,2002,ANA,15,12,6,2,1,0,0,1,0,5,2,1,.167,.167,.250,.417,-0.1,5302
1,2003,ANA,71,240,34,71,9,4,0,27,20,38,13,7,.296,.345,.367,.712,1.1,5302
2,2004,ANA,148,577,83,171,22,17,5,60,49,94,34,13,.296,.350,.419,.769,2.4,5302
3,2005,LAA,158,642,113,186,25,10,8,57,64,101,62,17,.290,.352,.397,.749,3.7,5302
4,2006,LAA,155,604,93,161,23,8,9,62,65,100,52,16,.267,.336,.376,.712,0.9,5302
5,2007,LAA,115,442,81,146,24,6,3,58,51,81,41,12,.330,.393,.432,.825,3.1,5302
6,2008,LAA,116,453,72,125,14,1,1,22,62,80,34,13,.276,.367,.318,.685,2.2,5302
7,2009,LAA,158,615,114,183,30,7,5,54,101,114,42,17,.298,.395,.393,.788,7.5,5302
8,2010,SEA,161,602,62,156,21,2,1,35,74,114,42,15,.259,.340,.306,.646,0.8,5302
9,2011,SEA,81,288,24,54,11,1,1,15,21,42,11,6,.188,.241,.243,.484,-1.2,5302
10,2012,SEA,66,166,18,30,5,2,2,11,19,48,4,1,.181,.262,.271,.533,-1.2,5302
11,2014,LAD,38,60,8,13,3,0,0,1,14,15,4,1,.217,.373,.267,.640,0.7,5302
0,2017,PIT,20,27,6,8,2,0,0,1,4,9,0,1,.296,.406,.370,.776,0.1,33151
1,2018,PIT,2,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.1,33151
2,2018,MIA,13,14,0,3,1,0,0,2,2,6,0,0,.214,.313,.286,.599,-0.0,33151
3,2018,Total,15,16,0,3,1,0,0,2,2,7,0,0,.188,.278,.250,.528,-0.1,33151
0,2010,OAK,24,70,8,13,1,0,3,7,7,21,1,0,.186,.256,.329,.585,-0.8,29486
1,2011,OAK,15,44,2,6,0,0,0,0,2,20,0,0,.136,.174,.136,.310,-0.7,29486
2,2012,OAK,67,218,38,52,12,0,16,39,39,83,0,0,.239,.350,.514,.864,0.9,29486
3,2013,HOU,148,506,64,113,24,2,29,82,70,212,2,0,.223,.320,.451,.771,0.5,29486
4,2014,HOU,145,507,68,115,21,1,37,88,56,182,5,2,.227,.308,.491,.799,1.9,29486
5,2015,HOU,129,391,50,78,17,0,24,64,57,151,1,2,.199,.307,.427,.734,-0.1,29486
6,2016,MIL,160,549,84,122,27,1,41,94,76,206,3,1,.222,.321,.499,.820,0.9,29486
7,2017,NYY,62,184,20,37,5,1,8,26,20,76,0,0,.201,.284,.370,.654,-0.7,29486
0,2009,FLA,128,504,84,162,31,6,9,47,53,77,8,5,.321,.390,.460,.850,0.9,29772
1,2010,FLA,91,358,60,96,20,3,5,28,33,84,10,3,.268,.335,.383,.718,1.0,29772
2,2011,FLA,65,269,33,62,20,1,5,22,22,49,7,6,.230,.296,.368,.664,-1.3,29772
3,2012,MIA,39,93,10,13,1,0,1,10,9,12,0,2,.140,.212,.183,.395,-1.4,29772
4,2013,MIA,70,195,10,50,10,3,1,10,17,43,2,0,.256,.318,.354,.672,-0.4,29772
5,2014,CHC,125,385,50,109,28,5,9,41,39,81,7,4,.283,.352,.452,.804,0.2,29772
6,2015,CHC,148,440,64,110,25,6,16,41,58,94,11,2,.250,.341,.443,.784,1.9,29772
7,2016,OAK,51,158,14,23,5,0,5,14,13,47,1,1,.146,.215,.272,.487,-1.6,29772
8,2016,CHC,48,103,21,26,7,2,1,16,22,26,1,0,.252,.391,.388,.779,1.0,29772
9,2016,Total,99,261,35,49,12,2,6,30,35,73,2,1,.188,.290,.318,.608,-0.6,29772
10,2017,TOR,36,75,7,15,2,0,1,5,9,22,0,0,.200,.299,.267,.566,-0.7,29772
0,2013,MIN,55,160,14,31,3,0,7,17,20,58,0,1,.194,.287,.344,.631,-0.1,32678
1,2014,MIN,59,205,17,47,13,0,6,39,14,66,0,2,.229,.282,.380,.662,-1.0,32678
2,2015,TOR,101,333,55,107,19,1,15,54,22,96,2,0,.321,.367,.520,.887,0.7,32678
3,2016,TOR,10,29,0,2,0,0,0,1,2,9,0,0,.069,.156,.069,.225,-0.5,32678
0,2008,TEX,80,295,51,84,23,2,17,55,20,88,1,2,.285,.331,.549,.880,0.9,29170
1,2009,TEX,113,391,48,93,15,1,21,59,24,150,0,0,.238,.284,.442,.726,-1.1,29170
2,2010,TEX,45,120,7,23,9,0,1,4,15,40,3,0,.192,.279,.292,.571,-0.6,29170
3,2011,BAL,31,123,16,34,9,0,2,13,6,39,1,0,.276,.310,.398,.708,0.0,29170
4,2011,TEX,28,76,9,19,3,0,3,6,5,24,0,0,.250,.296,.408,.704,-0.1,29170
5,2011,Total,59,199,25,53,12,0,5,19,11,63,1,0,.266,.305,.402,.707,-0.1,29170
6,2012,BAL,139,515,75,139,20,0,33,85,37,169,2,3,.270,.326,.501,.827,1.3,29170
7,2013,BAL,160,584,103,167,42,1,53,138,72,199,4,1,.286,.370,.634,1.004,6.4,29170
8,2014,BAL,127,450,65,88,16,0,26,72,60,173,2,1,.196,.300,.404,.704,1.8,29170
9,2015,BAL,160,573,100,150,31,0,47,117,84,208,2,3,.262,.361,.562,.923,5.2,29170
10,2016,BAL,157,566,99,125,21,0,38,84,88,219,1,0,.221,.332,.459,.791,3.0,29170
11,2017,BAL,128,456,65,98,15,1,26,61,61,195,1,1,.215,.309,.423,.732,-0.1,29170
12,2018,BAL,128,470,40,79,12,0,16,49,41,192,2,0,.168,.243,.296,.539,-2.8,29170
0,2005,CIN,18,38,8,10,3,0,1,2,6,9,1,0,.263,.364,.421,.785,0.5,6431
1,2006,CIN,49,106,14,30,6,0,1,7,11,21,1,1,.283,.356,.368,.724,0.4,6431
2,2008,OAK,29,62,10,18,3,0,1,9,6,16,2,0,.290,.362,.387,.749,0.3,6431
3,2009,OAK,4,2,1,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0.0,6431
4,2010,SD,99,284,41,77,15,2,9,36,27,51,8,4,.271,.335,.433,.768,1.9,6431
5,2011,SD,111,307,38,85,13,2,5,19,28,49,11,6,.277,.337,.381,.718,0.8,6431
6,2012,SD,130,348,56,102,19,6,8,36,27,52,13,5,.293,.345,.451,.796,2.1,6431
7,2013,SD,144,473,67,132,21,2,10,47,42,84,11,0,.279,.337,.395,.732,4.3,6431
8,2014,SEA,32,82,11,16,2,1,2,5,7,19,1,2,.195,.256,.317,.573,-0.3,6431
9,2014,SD,89,248,25,60,10,3,1,16,18,51,8,1,.242,.293,.319,.612,0.0,6431
10,2014,Total,121,330,36,76,12,4,3,21,25,70,9,3,.230,.284,.318,.602,-0.3,6431
11,2015,CHC,103,212,18,57,11,1,3,18,15,56,0,1,.269,.319,.373,.692,-0.3,6431
0,2008,CIN,31,102,20,31,9,2,6,15,17,35,5,3,.304,.413,.608,1.021,1.4,29209
1,2009,CIN,97,255,31,70,13,3,2,15,39,66,11,3,.275,.370,.373,.743,1.1,29209
2,2010,MIL,25,53,2,11,1,1,0,5,5,15,1,0,.208,.271,.264,.535,-0.3,29209
3,2010,CIN,20,44,9,9,1,1,0,0,1,19,3,0,.205,.222,.273,.495,0.2,29209
4,2010,Total,45,97,11,20,2,2,0,5,6,34,4,0,.206,.250,.268,.518,-0.1,29209
5,2011,NYY,60,50,9,13,2,0,1,7,2,17,4,0,.260,.296,.360,.656,0.2,29209
6,2012,NYY,25,14,5,4,0,0,2,5,3,5,3,0,.286,.412,.714,1.126,0.3,29209
7,2013,BAL,56,105,17,25,5,0,4,13,4,36,5,1,.238,.266,.400,.666,0.3,29209
8,2014,CLE,41,98,12,22,4,0,2,6,12,38,3,0,.224,.309,.327,.636,0.1,29209
0,2014,SF,8,17,1,1,0,0,1,2,1,4,0,0,.059,.111,.235,.346,-0.3,31384
1,2015,CIN,14,23,2,6,1,1,1,3,0,12,0,0,.261,.261,.522,.783,0.1,31384
0,2009,CLE,45,111,12,16,2,0,3,7,17,36,1,1,.144,.256,.243,.499,-0.8,29361
1,2010,CLE,28,58,6,11,5,0,1,8,8,22,0,0,.190,.288,.328,.616,0.1,29361
2,2011,SEA,24,59,6,12,1,0,1,6,10,13,0,1,.203,.314,.271,.585,0.0,29361
3,2012,TB,42,100,10,26,4,0,1,9,8,24,0,0,.260,.315,.330,.645,0.5,29361
4,2013,TB,4,3,0,1,1,0,0,0,1,1,0,0,.333,.500,.667,1.167,0.0,29361
5,2014,CLE,8,9,0,0,0,0,0,0,1,3,0,0,.000,.100,.000,.100,-0.2,29361
6,2014,TEX,34,107,13,28,10,0,0,11,11,26,0,1,.262,.331,.355,.686,-0.1,29361
7,2014,Total,42,116,13,28,10,0,0,11,12,29,0,1,.241,.313,.328,.641,-0.3,29361
8,2015,TEX,36,98,19,25,6,1,5,14,10,19,2,0,.255,.330,.490,.820,0.7,29361
9,2016,CLE,68,139,17,30,4,0,4,11,10,41,0,0,.216,.272,.331,.603,-0.6,29361
10,2017,MIN,77,186,28,41,9,0,7,16,33,60,1,0,.220,.350,.382,.732,0.7,29361
11,2018,MIN,13,29,6,8,1,0,2,6,3,9,0,0,.276,.353,.517,.870,0.1,29361
12,2018,CHC,12,28,1,4,0,0,0,1,3,7,1,0,.143,.219,.143,.362,-0.1,29361
13,2018,Total,25,57,7,12,1,0,2,7,6,16,1,0,.211,.288,.333,.621,0.1,29361
0,2010,CIN,97,201,33,51,10,1,8,21,16,57,1,2,.254,.324,.433,.757,1.0,30519
1,2011,CIN,120,279,44,71,9,1,18,50,19,78,6,1,.254,.309,.487,.796,1.6,30519
2,2012,CIN,120,347,44,92,16,5,7,31,18,81,6,3,.265,.315,.401,.716,-0.3,30519
3,2013,CIN,87,224,29,53,11,1,9,23,9,51,3,0,.237,.279,.415,.694,0.6,30519
4,2014,CIN,119,275,34,61,15,2,8,22,15,64,9,2,.222,.265,.378,.643,1.0,30519
5,2015,LAD,33,55,8,10,2,0,2,9,15,17,0,1,.182,.347,.327,.674,0.1,30519
6,2016,WSH,83,139,18,30,3,1,9,17,13,44,0,1,.216,.290,.446,.736,0.0,30519
7,2017,WSH,38,74,8,12,3,1,1,5,5,22,0,0,.162,.215,.270,.485,-0.6,30519
0,2012,MIN,7,18,0,1,0,0,0,1,1,5,0,0,.056,.105,.056,.161,-0.3,31998
1,2013,MIN,57,157,16,32,7,0,4,18,18,49,0,1,.204,.286,.325,.611,-0.3,31998
2,2014,MIN,33,75,8,16,3,0,0,4,4,17,1,0,.213,.253,.253,.506,-0.7,31998
3,2015,MIN,45,103,13,15,5,1,2,10,7,37,0,0,.146,.214,.272,.486,0.0,31998
4,2016,ARI,56,148,21,42,5,4,6,28,16,44,4,0,.284,.352,.493,.845,1.3,31998
5,2017,ARI,106,226,35,41,7,0,10,27,29,67,5,0,.181,.273,.345,.618,-0.8,31998
6,2018,SEA,36,76,6,18,4,2,2,7,10,24,0,0,.237,.322,.421,.743,0.5,31998
0,2006,COL,21,77,12,20,4,0,2,10,13,17,0,1,.260,.370,.390,.760,0.0,28561
1,2007,COL,67,197,22,43,8,3,4,27,29,58,0,0,.218,.330,.350,.680,0.3,28561
2,2008,COL,104,333,50,88,22,2,18,65,56,92,0,0,.264,.390,.505,.895,3.0,28561
3,2009,COL,93,289,41,66,15,2,16,52,43,75,0,1,.228,.344,.460,.804,1.6,28561
4,2010,COL,61,188,20,37,6,1,9,27,30,48,1,0,.197,.318,.383,.701,-0.3,28561
5,2011,COL,112,345,51,82,17,1,14,55,70,89,6,3,.238,.370,.414,.784,3.1,28561
6,2012,LAA,79,221,27,53,6,1,9,26,29,60,1,3,.240,.332,.398,.730,1.2,28561
7,2013,LAA,115,325,40,73,15,0,11,39,68,100,0,1,.225,.358,.372,.730,1.9,28561
8,2014,LAA,108,306,41,77,22,0,7,43,54,91,3,0,.252,.373,.392,.765,2.1,28561
9,2015,LAA,92,272,28,51,10,0,10,34,41,83,0,1,.188,.293,.335,.628,0.7,28561
10,2016,SEA,94,295,23,62,14,0,7,24,38,83,0,0,.210,.303,.329,.632,0.3,28561
11,2017,ARI,89,272,38,69,19,0,17,43,37,87,0,0,.254,.354,.511,.865,1.8,28561
12,2018,COL,110,299,36,67,13,1,11,36,50,87,0,0,.224,.345,.385,.730,-0.4,28561
0,2009,HOU,11,22,1,2,0,0,0,1,1,6,0,0,.091,.130,.091,.221,-0.6,29616
1,2010,HOU,94,341,40,105,22,2,11,52,15,91,3,0,.308,.337,.481,.818,0.2,29616
2,2011,HOU,107,378,32,95,21,3,7,42,16,97,2,2,.251,.291,.378,.669,-1.1,29616
3,2012,HOU,92,341,36,95,21,3,8,41,23,92,4,1,.279,.329,.428,.757,0.4,29616
4,2012,ARI,44,147,12,42,7,2,7,35,8,40,1,0,.286,.321,.503,.824,0.3,29616
5,2012,Total,136,488,48,137,28,5,15,76,31,132,5,1,.281,.326,.451,.777,0.7,29616
6,2013,ATL,142,514,54,165,34,0,12,68,29,116,0,0,.321,.358,.457,.815,2.0,29616
7,2014,ATL,153,582,43,153,27,0,10,58,23,159,6,0,.263,.292,.361,.653,-1.3,29616
8,2015,CLE,27,90,6,26,4,0,1,7,3,25,0,0,.289,.312,.367,.679,-0.2,29616
9,2015,ATL,56,153,12,36,7,0,2,11,7,49,2,1,.235,.272,.320,.592,-0.5,29616
10,2015,Total,83,243,18,62,11,0,3,18,10,74,2,1,.255,.286,.337,.623,-0.7,29616
11,2016,MIA,113,243,20,54,11,0,5,24,19,78,0,0,.222,.281,.329,.610,-1.0,29616
0,2011,WSH,31,109,6,27,5,0,0,10,4,27,0,0,.248,.274,.294,.568,-0.7,29641
1,2013,WSH,8,16,0,2,0,0,0,1,0,4,0,0,.125,.125,.125,.250,-0.3,29641
2,2017,SF,15,38,2,5,0,0,1,5,2,9,0,0,.132,.171,.211,.382,-0.6,29641
0,2013,TEX,10,34,0,6,1,0,0,1,0,13,0,0,.176,.176,.206,.382,-0.5,30879
0,2010,COL,17,25,7,7,1,0,0,0,1,4,1,0,.280,.308,.320,.628,-0.3,30156
1,2011,COL,63,180,20,45,10,1,4,16,7,35,3,1,.250,.280,.383,.663,-0.8,30156
2,2012,COL,111,345,45,104,21,3,9,53,27,84,2,1,.301,.352,.458,.810,-1.1,30156
3,2013,LAA,33,109,10,24,1,2,3,18,8,36,2,1,.220,.277,.349,.626,-0.0,30156
4,2013,NYY,10,36,3,8,2,0,0,2,1,11,0,0,.222,.243,.278,.521,-0.2,30156
5,2013,COL,21,66,6,16,1,2,0,4,4,19,0,0,.242,.282,.318,.600,-0.5,30156
6,2013,Total,64,211,19,48,4,4,3,24,13,66,2,1,.227,.273,.327,.600,-0.7,30156
7,2014,SD,27,73,5,17,3,0,0,7,7,14,1,2,.233,.296,.274,.570,0.0,30156
0,2013,ARI,20,55,5,16,5,0,0,5,6,10,2,0,.291,.361,.382,.743,0.3,30862
1,2014,ARI,91,310,34,81,15,6,6,26,16,67,8,1,.261,.300,.406,.706,1.9,30862
2,2015,ARI,147,515,59,117,27,5,4,43,26,144,16,4,.227,.264,.322,.586,-0.8,30862
3,2016,ARI,119,437,52,121,24,11,5,49,20,87,21,2,.277,.315,.416,.731,1.6,30862
4,2017,ARI,97,362,41,97,25,1,12,51,17,87,12,2,.268,.299,.442,.741,0.7,30862
5,2018,ARI,106,281,34,58,15,0,4,22,24,75,11,4,.206,.272,.302,.574,-0.2,30862
0,2011,MIN,21,76,8,27,6,0,4,14,12,13,0,0,.355,.443,.592,1.035,1.3,30228
1,2012,MIN,64,192,18,44,10,2,5,20,13,52,0,0,.229,.290,.380,.670,-0.6,30228
2,2013,MIN,101,294,21,67,13,0,8,24,33,81,1,1,.228,.309,.354,.663,0.5,30228
3,2014,MIN,87,250,27,64,11,0,7,28,17,64,0,3,.256,.307,.384,.691,-1.0,30228
4,2015,BAL,32,97,11,21,7,1,4,9,4,26,0,1,.216,.255,.433,.688,-0.1,30228
5,2016,NYY,6,8,4,4,1,0,2,4,0,3,0,0,.500,.500,1.375,1.875,0.3,30228
0,2018,SF,22,54,2,10,2,0,1,7,7,23,1,0,.185,.274,.278,.552,-0.4,36017
0,2004,ARI,29,96,10,23,6,0,5,15,13,25,0,0,.240,.327,.458,.785,0.6,6070
1,2005,ARI,115,326,24,66,14,0,6,28,40,87,0,1,.202,.297,.301,.598,-0.4,6070
2,2006,ARI,61,184,19,51,9,0,6,32,22,39,0,0,.277,.349,.424,.773,0.1,6070
3,2007,ARI,110,326,37,82,20,0,13,47,40,67,0,1,.252,.342,.433,.775,1.7,6070
4,2008,ARI,115,334,47,79,22,1,16,64,56,101,0,0,.237,.348,.452,.800,1.7,6070
5,2009,ARI,61,165,20,33,7,0,6,22,32,47,0,0,.200,.333,.352,.685,-0.3,6070
6,2010,PIT,40,124,12,21,1,0,5,16,16,33,0,0,.169,.268,.298,.566,-0.4,6070
7,2010,ARI,65,195,22,45,8,0,10,32,36,61,0,0,.231,.352,.426,.778,0.4,6070
8,2010,Total,105,319,34,66,9,0,15,48,52,94,0,0,.207,.320,.376,.696,0.0,6070
9,2011,PIT,34,96,13,26,3,0,3,17,17,23,0,1,.271,.376,.396,.772,0.7,6070
10,2012,HOU,76,221,23,39,8,0,7,24,33,70,0,0,.176,.295,.308,.603,-0.6,6070
11,2013,BAL,9,20,0,2,0,0,0,1,4,7,0,0,.100,.250,.100,.350,0.0,6070
0,2006,CWS,6,8,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1,28577
1,2007,TEX,17,37,4,9,2,0,0,3,3,6,0,0,.243,.300,.297,.597,-0.3,28577
2,2008,NYY,1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.2,28577
3,2010,SD,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0,28577
4,2011,SF,67,162,20,33,8,0,3,10,16,18,0,0,.204,.283,.309,.592,1.4,28577
5,2012,NYY,55,141,15,34,8,0,1,13,10,21,2,0,.241,.292,.319,.611,0.9,28577
6,2013,NYY,109,294,28,62,6,0,4,25,30,49,4,0,.211,.293,.272,.565,0.2,28577
7,2014,PIT,49,136,9,40,5,0,0,10,12,27,0,1,.294,.362,.331,.693,0.7,28577
8,2015,PIT,58,159,9,46,8,0,0,15,6,29,0,0,.289,.320,.340,.660,0.3,28577
9,2016,PIT,34,98,10,21,4,0,1,7,12,15,0,0,.214,.319,.286,.605,-0.3,28577
10,2017,PIT,51,131,8,24,1,2,0,4,9,22,0,0,.183,.241,.221,.462,-0.7,28577
11,2018,ATL,5,14,3,3,0,0,0,3,1,1,0,0,.214,.250,.214,.464,-0.0,28577
12,2018,ARI,3,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.0,28577
13,2018,Total,8,15,3,3,0,0,0,3,1,1,0,0,.200,.235,.200,.435,-0.1,28577
0,2014,SEA,47,136,16,39,8,0,0,9,11,39,5,2,.287,.347,.346,.693,1.5,32900
1,2015,SEA,37,94,9,16,3,1,0,1,6,31,3,2,.170,.220,.223,.443,-0.8,32900
2,2016,SEA,2,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.666,0.0,32900
3,2016,LAD,34,58,8,12,2,2,1,7,4,13,0,0,.207,.258,.362,.620,-0.1,32900
4,2016,Total,36,61,8,13,2,2,1,7,4,15,0,0,.213,.262,.361,.623,-0.1,32900
5,2017,LAD,140,514,85,148,34,5,21,72,50,142,17,4,.288,.354,.496,.850,4.8,32900
6,2018,LAD,155,536,85,136,35,8,17,63,55,178,9,6,.254,.331,.444,.775,4.1,32900
0,2010,CIN,19,38,3,10,1,0,1,2,1,9,0,0,.263,.282,.368,.650,0.0,30298
1,2011,CIN,14,25,3,7,1,1,0,0,2,3,0,0,.280,.333,.400,.733,0.3,30298
2,2013,MIA,22,64,4,14,5,0,1,9,3,16,0,0,.219,.261,.344,.605,-0.7,30298
3,2014,CHC,44,121,10,28,4,0,3,13,7,35,1,0,.231,.282,.339,.621,0.1,30298
0,2006,ARI,30,70,10,17,4,0,2,10,6,12,2,1,.243,.308,.386,.694,0.2,6514
1,2007,ARI,148,569,85,135,29,3,32,68,43,141,27,6,.237,.295,.467,.762,0.5,6514
2,2008,ARI,160,625,85,155,42,7,22,85,62,165,14,5,.248,.315,.443,.758,1.2,6514
3,2009,ARI,134,433,54,92,28,4,15,42,59,133,11,4,.212,.311,.400,.711,-0.2,6514
4,2010,ARI,156,584,94,150,33,0,27,91,74,145,28,7,.257,.341,.452,.793,5.2,6514
5,2011,ARI,156,567,89,134,38,3,20,71,80,139,22,9,.236,.331,.420,.751,4.6,6514
6,2012,ARI,101,325,36,75,24,0,14,41,36,79,8,3,.231,.311,.434,.745,1.9,6514
7,2013,OAK,107,335,46,67,18,3,12,40,36,93,10,3,.200,.280,.379,.659,-0.0,6514
8,2014,NYY,23,71,9,20,8,0,3,10,7,16,1,0,.282,.354,.521,.875,0.9,6514
9,2014,NYM,88,254,31,52,12,0,8,28,25,54,7,3,.205,.283,.346,.629,-0.0,6514
10,2014,Total,111,325,40,72,20,0,11,38,32,70,8,3,.222,.299,.385,.684,0.9,6514
11,2015,NYY,140,318,53,80,20,1,14,42,30,73,3,1,.252,.320,.453,.773,1.1,6514
12,2016,BOS,76,203,29,56,18,0,9,24,21,50,4,2,.276,.352,.498,.850,0.9,6514
13,2017,BOS,90,243,30,57,12,2,7,25,30,55,3,2,.235,.322,.387,.709,-0.4,6514
14,2018,LAA,56,113,17,19,2,1,6,13,11,37,2,0,.168,.252,.363,.615,-0.6,6514
0,2017,SF,34,125,9,24,5,0,3,14,8,32,1,2,.192,.244,.304,.548,-0.4,33185
1,2018,TB,20,53,5,14,2,1,1,6,6,16,0,0,.264,.339,.396,.735,0.2,33185
0,2013,ATL,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.0,31758
